S,B,is_validation,status,stage,latency,memory,energy,flops_reference,energy_error,free_bytes_before,energy_passes,energy_duration,energy_method
400,16,True,OK,done,0.015011682500016832,259096576,0.99641,45352859200,,15472590848,200,3.019020982000029,nvml_counter
224,128,False,OK,done,0.05710189100000207,655458304,3.7694166666666664,113808814592,,15472590848,60,3.4368905110000014,nvml_counter
272,8,True,OK,done,0.003844446500011145,53977088,0.24039397590361444,10486930208,,15472590848,830,3.017794211000137,nvml_counter
80,64,True,OK,done,0.0028146795000338898,41582592,0.1773036036036036,7275731200,,15472590848,1110,3.0083994229999007,nvml_counter
512,29,True,OK,done,0.042443865999985064,757092352,2.8303374999999997,134674042964,,15472590848,80,3.402209221000021,nvml_counter
224,256,False,OK,done,0.11867872349989739,1292992512,7.769066666666666,227617629184,,15472590848,30,3.5466849970000567,nvml_counter
256,8,False,OK,done,0.0033244969998804663,49381376,0.21887311827956987,9289747232,,15472590848,930,3.030192912999837,nvml_counter
400,4,True,OK,done,0.003847659500024747,57741312,0.24902375,11338214800,,15472590848,800,3.027647505999994,nvml_counter
128,2,False,OK,done,0.0005407275000379741,17794048,0.03440034904013962,581079752,,15472590848,5730,3.0025721800000156,nvml_counter
80,29,True,OK,done,0.0010813044999622434,26791936,0.08703771929824561,3296815700,,15472590848,2280,3.0115773320001153,nvml_counter
384,256,False,OK,done,0.3215167805000192,3384287232,21.274700000000003,668761416704,,15472590848,10,3.219506851999995,nvml_counter
400,179,True,OK,done,0.25661900300008256,2841688064,16.983449999999998,507385112300,,15472590848,20,5.152358470000081,nvml_counter
32,2,False,OK,done,0.0005182415000035689,18874368,0.033998983739837396,36905672,,15472590848,4920,3.0010988230001203,nvml_counter
224,16,False,OK,done,0.005176904500103774,68780032,0.33245,14226101824,,15472590848,600,3.019493553000075,nvml_counter
64,128,False,OK,done,0.005356709500006218,76644352,0.3469105263157895,9327391232,,15472590848,570,3.043099294000058,nvml_counter
32,4,False,OK,done,0.0005207414999404136,19095552,0.030439279588336195,73811344,,15472590848,5830,3.00554702799991,nvml_counter
64,256,False,OK,done,0.010002630500025589,138272768,0.6679566666666666,18654782464,,15472590848,300,3.054235801999994,nvml_counter
384,56,True,OK,done,0.047897629500084804,815988736,3.2338285714285715,146291559904,,15472590848,70,3.3494832589999533,nvml_counter
384,8,False,OK,done,0.007315906000030736,95125504,0.4749357142857143,20898794272,,15472590848,420,3.019430358000136,nvml_counter
400,64,True,OK,done,0.060794309500124655,983007232,3.9931,181411436800,,15472590848,50,3.0301344460001474,nvml_counter
352,8,True,OK,done,0.006132853500048441,82739200,0.40657551020408167,17561193248,,15472590848,490,3.0074141019999843,nvml_counter
512,1,False,OK,done,0.0012930069999583793,32210944,0.10787717391304348,4643932516,,15472590848,1840,3.0045510140000715,nvml_counter
272,4,True,OK,done,0.0016905174999237715,33853440,0.12114444444444444,5243465104,,15472590848,1620,3.009901314999979,nvml_counter
352,4,True,OK,done,0.003367775500123571,48529408,0.20988191489361702,8780596624,,15472590848,940,3.010873730999947,nvml_counter
272,179,True,OK,done,0.12145496950006418,1290973184,8.002866666666668,234645063404,,15472590848,30,3.6423853549999876,nvml_counter
512,2,False,OK,done,0.0033001494999780334,49381376,0.19679278350515464,9287865032,,15472590848,970,3.008059947999982,nvml_counter
512,256,False,OK,done,0.5643832490000023,6169042944,37.2303,1188846724096,,15472590848,10,5.662102601000015,nvml_counter
64,64,False,OK,done,0.00163289149998036,32210944,0.11153876404494381,4663695616,,15472590848,1780,3.008744224999873,nvml_counter
256,1,False,OK,done,0.0005347535000055359,19499008,0.037078996282527886,1161218404,,15472590848,5380,3.0052957870000228,nvml_counter
256,256,False,OK,done,0.14220526600001904,1683062784,9.534166666666666,297271911424,,15472590848,30,4.3091248030000315,nvml_counter
384,179,True,OK,done,0.2298159020000412,2474541056,14.96105,467610521836,,15472590848,20,4.588797301000113,nvml_counter
64,4,False,OK,done,0.0005561655000292376,24903680,0.03460310880829016,291480976,,15472590848,5790,3.0004377449999993,nvml_counter
352,64,True,OK,done,0.04642896250004469,717586432,3.133585714285714,140489545984,,15472590848,70,3.2462901049998436,nvml_counter
384,32,False,OK,done,0.026811397999949804,436260864,1.7724833333333334,83595177088,,15472590848,120,3.222073195999883,nvml_counter
